enojed_most,enjoyed_least
"I enjoy the lectures the most, they are engaging and thought provoking. The examples and practice questions are very helpful, and easy to follow along even at home. ","I like the labs/discussion assignment the least, only because I struggle the most on the labs. Some of the wording can be confusing, especially when the prompt is sort of vague. For example D4 asks to look at the data we scrapped and look at the age statistics, however I wasn't sure if it meant to look at the previous data frame, or the main data frame."
I liked interacting with the Jupyter notebooks. The format of them is organized and easy to use.,It would be nice to have a centralized place for all of the functions that we use in this class. It seems like a big chunk of the time spent on labs or assignments is digging through Jupyter notebooks and documentation for a specific function or parameter if we don't remember it off the top of our heads. 
I think in class when there is participation it’s really fun and the communication with other classmates.,I think it’s hard to keep up with the content sometimes
I like professor's teaching method and able to explain everything clearly. Also the demo in the class using Panda is really helpful too.,It is a big class. Hence sometimes students will talk during the lecture and it is a distraction.
"I have enjoyed the lectures the most, though they are not mandatory to attend, I have found them to be really helpful, given our project. I feel that it prepares us to be good researchers and interpreters and these skills would be very useful in life.",The people in the group project are not at all contributing. 
"I enjoy working in a group and getting to learn from everyone, which makes projects a lot of fun. I also enjoy the interesting topics that are explored in labs and homeworks.","It feels like to look for course info, sometimes I need to search on datahub, github, and canvas. I think it would be great if there was a centralized place with everything linked that I could reference."
"This class is pretty fun, especially when the code is able to run :))))",When the code can't run
I have enjoyed the different techniques for data analysis and visualization while applying them to genuinely interesting case studies.,"Although concepts like data ethics are important, I would enjoy learning more practical applications of data analysis over theoretical frameworks and guidelines."
"Ive been introduced to data cleaning before, but I like how much more Ive learned about data cleaning, and expanding that topic. ","Sometimes the google forms stress me out when I dont submit in time, its too quick of time and im a slow typer"
"The surveys we do in class, in last lecture one of the respondents said something about ""farts"" and it was quite funny. The professor makes this class much more fun and makes it easier to pay attention for longer periods.",When the class tends to feel boring and the energy is not there.
"Most the classes you take in college are more theory based so I've been enjoying cogs 108 because its the only fully practical course I've taken, that is the project is all the matters really. So I am pretty excited to get started on my project.","There is certainly a steep learning curve for people who have not had much coding or data science experience so maybe a bit more direction in this realm, however I do think jumping straight into a difficult project is a phenomenal way to learn though it may be very time consuming."
"Formatting - everything is very well flushed out and helpful - especially in contrast to cse 107 with Nadia - that shit sucks, the professor and ta's are grifting: no homeworks graded yet, no homework answers released after deadlines, piazza questions go unanswered, etc. In comparison to that, the professor and TA's of Cogs 108 are on top of their work!",quizzes - needlessly stressful
"I have enjoyed learning various data science related skills such as using Pandas and seaborn. Since I am a computer science major, I haven't really gotten a chance to play around with these tools, and this course has given me insight into them.","I think that the lectures are a bit slow paced. I understand that this is meant to be more of an introduction class, but since I have experience in the software engineering industry, it felt a bit slow."
I’ve enjoyed the content the most so far. Specifically working with pandas and other programs for visualization and data organization. It all seems very relevant and important ,"While I like the fact that lecture time is split between general strategies for data science research and some specific note taking via Jupiter notebooks, I feel as if there’s not enough of it in the lectures. While I understand there needs to be some sort of discovery and research element to the discussions and assignments, I think going over more specifics (coding) for the assignments would help a lot :)"
"I like that we're doing an overview of everything data science comprises, from EDA to ethics. The professor is also super chill, and I think all the participation activities we're doing in class, like the Feynman estimation, are helping us think critically about what our data looks like. ",It would be great if we moved a little faster. 
I liked the assignments and lab works  ,"I did not like that the quizzes are timed for 15 minutes, where they could be helpful from the perspective of learning for the students if they were not timed."
"I really like that COGS 108 is a very hands-on and informative class, without overloading students with work and stressing them out. I also appreciated the group-formation system early in the quarter, it felt very helpful and organized. The content is interesting as well, because I find python pandas pretty fun.","I'm actually not a huge fan of how everything is due on one day, although I admit it's up to me to not procrastinate, I think it would be easier to organize my time and mentally separate assignments from labs if they were due on separate days. "
I enjoy the lectures the most. Professor Ellis breaks down the content and make the lectures very digestible and engaging.,"I don't have anything in particular that I dislike. If I had to choose, it would be the group project. I wasn't aware the group project would take a big portion of this class, and I came in not knowing anyone in this class. I had to choose a random group to join, so I think it is a bit harder for me to take lead and contribute more ideas to my group. "
"Learning about Github & Basics around it, working wtih team. ","Assignments, having a little hard time with it but I understand if I spend lots of time on it."
"So far I have enjoyed learning to use Python in practical ways, and seeing examples in lectures using data collected from our class.","There isn't anything that stands out that I've liked least about this course up to this point. If I had to pick something, it would be that finding the current lecture material isn't too intuitive. I often get mixed up about which PDF or Jupyter Noteboook is being used in lecture. "
I have enjoyed looking for project ideas with my group,the labs/assignments
"I appreciate that it's more of a chill class compared to technically heavy and having large expectations on students to bring results, rather than learning through the process. I can tell the professor wants us to truly learn how to solve a data science-related question, rather than ","The questions in the discussion coding assignments (d4 in particular) have been worded pretty badly, meaning its hard to understand what they're asking for. There's a difference between asking a question and make the coder really THINK of how to manipulate their dataframe to get what they want, versus implying that you want the coder to do something, but are ambiguous about it. For example, one of the questions in d4 asks about retrieving a subset of the age dataframe of elements that overlap with the politics dataset. But then, in the question before it, it asks 'what if we got all the years of 1950s till now?'  When I read this problem, I thought that you were asking us to do two different things: retrieve all the data from both dataframes from 1950s to now, and then, merge two dataframes based on overlapping attributes. I hope you understand what I'm saying. 

Please, also, grammar check the questions you're trying to ask in the coding assignments. Reading badly worded questions and also seeing grammar mistakes makes the credibility and trustworthiness I have in the academic team in cogs 108 so much lower."
"I enjoyed doing the assignments and discussions because I have never done these types of assignments before where guidelines are given on how and when to use different functions using tools like Pandas and Seaborn, and it allows me to enjoy learning in the process genuinely.","Frankly, there is nothing that I liked least about the COGS 108 course itself. But if I had to pick one, I would say the class period. 9:00 AM is too early for me, and I cannot attend the lectures at 2:00 PM due to a conflict with another class."
I enjoy the ability to look over the notes from lecture while simultaneously working on a discussion post or assignment. ,"I have liked the aspect of assignments having thorough instructions and less descriptive instructions for discussions the least. It causes me to attempt assignments first and discussions, which are supposed to be the ""easier"" between the two, afterwards. "
Learning how to use pandas since it has been relatively easy to understand and quite interesting.,Having to schedule times to meet up for the project since I live off campus and if we want to meet in person I usually have to go out of my way to go to campus.
just the data science part of it,the amount of coidng 
I like how we can teamp up and do a free project,na
Doing the labs and assignments,Issues with datahub
I have most enjoyed the lecture and assignment styles of this course because I feel that they are relatively engaging and break things down in a manner that is easy to follow along and learn from. ,I don't really have any issues with the course other than maybe sometimes we can go over things quite fast in lecture but this is easily solved by reviewing the podcasts. 
"I loved being able to refine my Python skills through all the assignments and discussion labs. I want to be able to talk about my Python usage and skill-awareness in interviews, so being able to learn about other packages and how to use them in Python is quite helpful. On top of that, I can use them to solve basic algorithm problems in Python.","The one thing I've liked least about COGS 108 so far is the inability to connect with my group well. I'm trying to jog conversation and get the ball rolling for the project deliverables, but it's become quite hard to gather ideas and worse yet, conclude and agree on a singular idea. I hope to be able to improve this as time continues."
"The coding has been kind of fun! Challenging, but repetitive and good practice for the final project. I'm actually really interested in coding so it's been fun sorting and graphing data from the D and A assignments. ","Although I said the coding has been fun, it's also daunting and overwhelming. I'm definitely scared for the final project, as my teammates and I are going to have to take the knowledge we've learnt through the assignments and apply them to actual data sets. However, the concepts itself presented in COGS 108 haven't been too difficult."
I have enjoyed working with my group on the project. I enjoy discussing what we want to find in our datasets and what our project will be about.,I sometimes find the assignments to be a little obtuse and difficult to figure out.
The lectures!!! I was scared of them being snoozy but professor does a good job keeping us engaged ,Some of the assignments are difficult for someone who doesn't have a lot of experience w python
"The project discussion with my teammates, because we all have some interesting ideas, and  I really enjoyed discussing with them.","The github stuff, because they are a little bit annoying"
That the quizzes are related and often whats in the lecture/lecture notes.,"Sometimes the discussion and assignment tasks are not as clear, which causes rereads and multiple trial and error before understanding."
"I have enjoyed the lectures, and the support that is offered the most. I think lecture is very helpful, specifically when Professor Ellis provides examples, or has us answer questions (on the google forms). Personally, this helps in making complicated material easier to understand. I also have enjoyed the support that is offered. There are a lot of resources that are available in this class and I think the Professor has always made it clear that there is always support for us.",Something that I have liked the least in COGS 108 (but I understand that they are made that way to specifically help us get more practice) is the length of the assignments. I think they can be quite long and time-consuming.
I have enjoyed the class's attendance policies. It is nice to know that I can always go to the other lecture time if I need to. It also encourages attendance without making attendance more stressful.,"Nothing, I feel like the class is fair and rigorous."
"One thing I enjoyed the most was collaborating on a group project. I liked how flexible it was, letting us choose a topic we were genuinely interested in and discuss it together. The lectures were also really helpful and kept me engaged throughout the full 50 minutes.","One thing I liked least about COGS 108 was the lab assignments. Some instructions felt vague and ambiguous, which sometimes led me to misinterpret them. There were a few times when I completed a task differently than intended, only to realize the mistake after double-checking with the TA."
Pace of lectures and assignments ,Discussion assignments can be a little hard
"So far, I am enjoying lectures as they help me better understand how to code. Although I am very new to python coding and haven't coded in general for years, I am learning more than I ever did. I mostly enjoy the lessons that go over various ways to utilize code to analyze and organize data sets. This is something I think would be useful in my career path which will include lots of researching!",Nothing really.
The aspect of COGS108 I enjoy the most is the group project that will help build my data analysis and coding skills. It is my first time utilizing pandas and I think it is pretty fun and not as complicated to use. The group project is also something I look forward to working on rather than having to complete a final exam.,"I do not like how some of the assignments and discussion work have confusing questions that could not simply be answered by looking at the notes. Obviously, we have to think outside the box to solve these problems but some of the data visualization problems have been really tricky and I had to find help online since the tests were also strict."
Using codes to analyze data and draw graphs with them.,Feeling hard for me who are not cognitive science major.
"I've enjoyed our lectures on the more soft skill oriented topics, like Data Ethics and Privacy. These are topics we don't discuss as much in my other DS classes, so its interesting to learn more about them.","It has been difficult to connect with my team mates so far, since collaboration with them has been completely asynchronous. This makes it difficult to plan and move forward with the main project."
The team project as well as interactive class components (the questions definitely help maintain engagement and curiosity!),"Lots of deadlines, but there is a lot of course content so I understand"
Learning about data science and going in-depth in python.,Homework is due on Sundays. Especially the quizzes that only come out on Friday afternoon. I don't want to be doing schoolwork during my weekends.
I enjoyed getting an introduction into the world of data science and how I could potentially use this in the future.,Not much to say
The assignments and discussions because it's been a while since I last worked in Python and its a nice refresher that isn't too complex. ,N/A
"I enjoy that the assignments and labs have interesting data sets, and challenging but not too difficult aspects.",I enjoy how this class is set up and taught; n/a.
I really enjoyed the coding assignments and discussions because they’re really effective in brushing up my memory on key concepts!,I think I dislike the final project because it’s something that involves multiple people and scheduling is very difficult for us.
"I enjoyed learning about pandas and how to manipulate dataframes to help me analyze data. Since I am thinking about going into data analysis, this course has helped me learn what the career may entail. ",The one thing I like least about COGS108 the instructions are some of the coding work can be ambiguous.
I enjoyed learning about python and how we can use it to visualize data,I liked everything in COGS 108 so far
I’ve enjoyed the exploration of the projects and the dive into the aspects of data science.,The assignments as they can get confusing at times.
Actually looking at data and learning how it might impact people.,"Sometimes, the assignments doesn't quite match up the lecture."
meeting my team during sectiom,labs
"I enjoyed getting to meet my group members and hanging out with them. Knowing that I'll be working with familiar people with the project and people that I'm comfortable with, I think we're able to come up with a good project idea.",I don't like how I can't redeem what I got wrong. I believe having a redemption system where I'm able to correct what I did wrong and incentivize getting points for that would be nice and beneficial to all.
Choosing our own research topic. I feel like that allows us to really explore fields that we're truly interested in so that we make the most out of our education.,Practical applications. Sometimes I feel like some aspects of lecture aren't applicable or isn't clear regarding labs or assignments.
I actually enjoyed getting put into a random group because it forced me to meet as well as talk to new people.,"While I liked getting put into a group to meet new people, the fear of letting them down because I am in a group is what I like the least."
"I have enjoyed the discussion labs so far! They are fun to do, and I enjoy practicing and testing my coding skills!","The attendance being done through QR code, my back camera does not work, and it makes it hard for me to do the attendance! "
I love working on the assignments and feel like they present as a good measure of testing our learning while still being short and comprehensive. ,Don’t have any major concerns but I don’t like that all assignments are due weekly on the same day. 
Probably just practicing and reviewing when doing the labs ,"For me, I’m a data science major in my fourth year and the topics feel very repetitive. I don’t feel like I’m learning anything new. "
I have enjoyed the lecture contents the most.,I have least liked the discussion assignments.
I like learning the code and also we have the chance to watch the guest lecture to get to know more about the field and career path.,Maybe that there are few things due each week but I already get to used to the pace for this class.
I enjoy the fun lectures,Things are speeding up in regards to  the final project and the labs have become more difficult and longers.
I enjoyed the assignments and getting to put all the concepts from lecture to practice,None on the top of my head; it is a great class
python and the data wrangling ,nothing 
Learning about Github,The lecture slides not being uploaded to Canvas because it is harder to access them with  my phone through Datahub and Github
I have found the lectures to be quite helpful.,What I have liked the least are the lab sections. I feel like lab sections could be more helpful if we go more over the material we will see in the assignment rather than just letting us figure it out by ourselves.
Meeting with my group and discussing what we want to work on for the rest of the quarter,there isnt anything I dislike about the course so far.
The thing I enjoyed the class would be how the lectures are structured,Maybe I would like the lectures to be a little more engaging 
So far I have enjoyed doing the quizzes and thinking about the proposal for the project in this class. ,"I have least enjoyed doing the A assignments since they tend to take forever kinda, and they're are little harder. "
"The assignments, working with Python on Jupyter and debugging. Also the super nice professor and the way she brings in interesting examples to the lecture content.",Also debugging :)
The pace has really allowed me to learn the content without feeling pressurized for exams.,n/a
So far I enjoy the group work a lot. Come up with interesting data science project with other people,The early class
The discussion notebook assignments. The project,Having to find random teammates because I only knew 2 other people in the class. I wish it was 3-5 people instead!
I really like the techical topic in this project ,We didn't really go into seaborn 
I enjoy doing the easier discussions where it step by step explains how to do something because I feel like I am learning.,"I didn't really like the pushing and pulling stuff for github because I was really lost, especially since I didn't have a macbook like my TA."
I have enjoyed learning new things about Python and how to develop graphs.,The assignments have been a little tricky and stressful since I am unsure of what the output is supposed to be.
"I think pandas is a very useful technique. Even in my major, I find it extremely valuable, and I really enjoyed playing around with it. It made data manipulation and analysis much easier and more intuitive, allowing me to explore datasets and uncover insights efficiently.",NA
Interacting with my group project team members. It's cool doing a project on something I am actually interested in. ,The pace of the class is pretty fast for me given I have only taken Cogs 18 in the past. I think my other team members who are CS majors take this class and it is super easy for them.
I enjoy the lectures and walking through the code in class. ,"I don’t really like how fast we move, since it’s a lot of new content very fast."
The lectures. Prof. Ellis is a great lecturer.,Nothing.
I think the lectures have been super engaging and interesting to listen too. I like the examples in class.,"Sometimes the assisngment instructions can be a little unclear. For instance, the matplot assignment it was kind of confusing to understand what you wanted and we had to look at the test cases. "
I really enjoy the time to get hand-on project experience related to the knowledge I learnt,N/A
"The structure: I love the way homework is set up on the same day of the week, I also appreciate the straight-forward nature of the grading.

Lecture: Always enjoyable to attend and most importantly - very accessible since there are two times and a podcast. ",The assignments can have some issues from the client side. Maybe a move away from jupyterhub to other options. 
I think the lectures are fun and informative and are not too jargony for a non coding major,I think the talk with your neighbor works in some classes but this class should avoid it 
Plotting and working with data in Jupyter Notebook and answering real life questions using what we've learnt so far,"Sometimes debugging and figuring out what went wrong we my code can be a bit frustrating, but it's really satisfying after figuring out what the error was."
"How easy the class feels. Most of it feels practical, and great to know for our careers and future classes. ","Most of it is review from COGS 9, so there's not much for me to learn about regarding foundations of data science, so this feels more like a continuation of the course and actually applying what we learnt from the course itself."
The weekly python assignments because I get to work on my python skills. ,nothing really everything was explained and I didn't have much questions.
"I enjoyed learning python honestly, it seems like a fun language to learn and I'm excited to use it.","I think I least disliked how the jupyter notebook was not as user friendly to beginners to help them guide them through coding, cause my other friend is having a lot of trouble, but I'm doing fine due to my experience with coding."
I like how we are able to create a project based on a topic that we are interested in.,I feel like some lectures do not help me with how to solve the homework.
"I’ve enjoy being able to work on cells through data hub, and being able to take my code step by step. I also like how discussion is run, with a short review and time to ask the TA questions.","I don’t like how I’m often disconnected from Jupyter notebooks, or have issues with data hub such as problems with validation that aren’t due to my code."
"So far, I have enjoyed how interactive the course has been with the notebooks and the long descriptive explanations for the assignments. ",The thing I have least liked about Cogs 108 is how sometimes there are weird bugs in the assignments after submitting but it hasn't been a big issue so far since the professor and TA's have helped resolve them.
"I really enjoy the discussions. I feel like the notebook problems really helped my understand how to work with data, like organisation, manipulation, removing null. This all helped me a lot with my Economics research Lab too.",I don’t think there was anything Indisliked about the class so far. All the work is fair and manageable. 
The discussions and assignments are the most engaging because they help me practice what we're learning and preparing me for how to execute our project.,Some of the TAs in section aren't very helpful so I don't think it's worth it to go unless my group members want to meet during that time. There are a few sections I attended though were the TA is very insightful and helps out a lot!
"I enjoyed the lectures when you're using jupyter notebooks, it feels more interactive that way.",Datahub. It feels very barebones. There's no intellisense and it's hard to verify what I submitted.
I've really enjoyed learning how to use pandas because I think it can be very useful not just in school but in everyday life.,n/a
The lectures are really descriptive and help students understand the basic tops surrounding data science. I like how it is very organized and that there are different resources to help us learn the topics.,The assignments feel very tedious and require us to do more than what I feel might be necessary. This is mainly because I have learned these topics before so it feels repetitive. Though I can see how for someone that hasn't done this before the content on the assignments can be good practice.  
I enjoy the lecture a lot because professor is very patient.,"Communicating with team mates, not I don't like it, it's just pretty hard"
I like the group aspect of the class and the project component in this class. I always wished UCSD has more classes like this where its more self learning and more freedom of what we can do. ,"As of right now I don't really dislike anything about COGS 108, its living up to the expectations that I have for it !"
Learning pandas and applying it to practical settings through assignments.,Nothing.
I enjoyed the pacing of the lectures & the clarity of the professor while speaking. ,"I am not too comfortable with the amount of independence the assignments require (separate from the lecture, it feels like I have to self-teach myself some data science methods) but this is not that large of a problem. "
"Data manipulation, Pandas. I have experience with data science and I enjoyed the learning structure of how we were taught about data manipulation. ","Plot Graphs. Truthfully, I don't actually mind this, but I need an answer. Although, doing plot graphs and organizing them to have all data visible was a tad bit annoying as I had to do my own research to understand how to better represent data."
Assignments all in canvas so I can see when my assignments are due easily,Very basic since I'm a data science minor
"I enjoy working with a team, as this makes it seem like a professional setting. I think this aspect of project building is what's missing from other more 'academically rigerous' courses.","I wish attendence was calculated after lectures, because it's hard to remember when or how many days I skipped. Additionally, it's more convinent to have a hard coded statistic rather than conjecture."
"I've enjoyed the labs that we get to complete because it helps me understand the concepts better (ex: data wrangling, using pandas, etc). The format of the labs is effective for learning because it explains the concepts and then lets us write code as well. Testing out the code and trying to figure out how to fix the errors is beneficial to comprehend the material. ",One thing that I liked least about COGS 108 so far is how frustrating it can be when the code doesn't work for the assignments. I understand that it's part of the process of learning the material in class but I think this is the one thing that I liked the least.
"I really enjoy the lectures and the assignments to go with them, it's been a good refresher on Pandas for me.","Honestly not a whole lot, I like most things about this class. "
"I enjoyed the lectures of COGS 108, I think the main points are very well organized. I like the interactive forms to knowledge check the class. I think the free days for turning in assignments late has been a stress reliever as well and gives me flexibility.",i haven't really disliked anything in particular. 
I like the discussion part because I think it is a quite interactive way to make the class engaging. ,"I would say the DataHub is not always helpful sometimes, it gets stuck. "
The assignments seem pretty reasonable compared to what we learn in lecture. ,I don't really have an issues honestly. It has been an interesting class
I like how the class is very chill and open ended. Gives a lot of freedom and mimics an actual real life project,I feel like the class is too easy - coming from a physics and data science major.... i feel like im not learning much
I have enjoyed working on the group project. This is something I have enjoyed most because it is a project that our group decided on our own based on something we all find interesting. This component makes it fun to work on because we all have already had some sort of experiences or ideas with the topics that we enjoy learning about. ,"I am not sure if there is anything that I haven't liked least, but I think there is a bit more pressure sometimes to not miss a class because of our participation points despite it maybe being an inconvenience that week. However, this is something that is workable and not a problem as long as I am able to attend either the morning or afternoon class more so than I'd like to miss. "
I've enjoyed the Data Lab assignments-- they've been fun. And I've enjoyed learning to use seaborn. ,"Nothing, it's been an enjoyable class! Though, I'm starting to dislike Pandas as a library but that is separate from this class. "
I like just the topics and the way the class is structured in general. Homework and labs let you do things more hands on and feels like your doing the actual project but broken down into smaller steps which I really enjoy.,I wish assignment asserts were more clear on checking if your correct. Since I lost a bit of points for some very minor errors that I think the asserts should have been there to tell me rather than be a hidden assert.
Learning Pandas has been an interesting way to look at data visualization,Pandas debugging is frustrating because I'm not familiar with Python.
"Currently I am really enjoying the process of learning how to collaborate with others with a big final project. From the past 2 weeks or so, our team has started to collaborate and gotten to work with each other for our project. It was very fun learning about each others' strengths and weaknesses, along with how to compliment each other according to them.","I feel like some of the assignments and labs don't really align well with the lecture materials. While this is somewhat of a part of the structure of the class, I feel like when working on labs and assignments I have to go back to many different lecture slides and notebooks to understand what to do. "
The group work has been fun,Nothing so far
Lecture,github
I love learning about Pandas,The in-class lack of participation from others.
I've enjoyed having a light workload while still learning a large amount of material in detail and following along the lectures in our own jupyter notebooks.,nothing
"I enjoyed learning hands-on. Most classes you learn and get tested on. However, for this class, I like that we get to apply what we learn and practice our skills.","I wished there was a calendar on CANVAS to show due dates and what we are going to learn in class. I also wish there was a video that taught us how to use github (for example, showing us how to download github desktop and how you can use this to clone, pull, and push repos). I was a little lost on how to edit the project proposal until I went on Edstem and saw a post regarding this."
Overall really enjoy how structured the class is. The notebooks are really well designed it actually takes a way a good amount of the unnecessary stress a lot of classes have. The canvas and assignments are also perfectly structured so we know when what is due. Making the students job just to focus on the learning which is great!,n/a
"I love the pace of the lecture and material, and I found the lab and assignments to be very helpful for me to do some hands-on practice before working on the final project.",I hope the length of the assignments can be a little shorter.
"I've found attending lectures to be really helpful, and I've really enjoyed the data visualization and cleaning sections because they've been incredibly satisfying.",I've had some issues with communication in my group project that will hopefully improve with time. 
"I like the data processing knowledge I have learned so far, and I think it is very useful for real world practice","To be honest, I don't like group work very much. I think the students in this course come from different majors, so they pay different attention to this course and have different levels of commitment"
I think the lecture topics have been really interesting. The professor explains things very clearly and makes them engaging to learn about. The in-class questions and polls have been really helpful to check for understanding as well.,"I feel like it is kind of difficult/annoying in a way to work with packages all the time which I totally understand its the foundation of the class and important for us to practice. However, they are finicky and I run into a lot of issues on labs and assignments with them."
"The TAs have been super responsize and helpful, but the biggest highlight to me is the lectures. The lectures are so fun, even if I don't show up all the time (commuter struggles), the reason I go to school in the first place is to show up for COGS 108.","Nothing in particular, things have been pretty smooth!"
Meeting new friends and have experience doing project,jupiter notebook
"One of the most enjoyable aspects of COGS 108 has been the practical approach to learning how to code within the context of data science. The assignments challenge us to apply coding skills to solve real-world problems, which has significantly enhanced my understanding and ability to write functional code. Specifically, I appreciate how the course integrates Python programming with data analysis techniques. This hands-on experience not only bolsters my technical skills but also boosts my confidence in handling complex datasets and deriving meaningful insights from them. This course has made coding feel more accessible and relevant, bridging the gap between theoretical knowledge and practical application.",Nothing.
I like how interactive the class is. We can follow along with coding while we are learning about the concepts. ,-
"I really enjoyed having Ed to support our questions when we are doing all the assignments. When I have some questions with homework, I can not stress and just ask on Ed.","So far there is nothing I don’t like. Just sometimes I have trouble navigating where things are, given we have Canvas, GitHub, and Datahub, but I usually figure it out pretty quickly."
"Just talking and discussing with my teammates about the project, brainstorming ideas that sound fun to do.","Using datahub. I keep running into problems with it, like pulling lecture notes (which keeps saying error undefined and doesn't give me any error messages to know what's wrong)."
Learning about pandas and the different types of graphs,I wish we got more time to fill out the in class google forms
My groupmates,Banging my head on my keyboard trying to figure out why my code isnt working
Learning more about how to use GitHub and how to practice data science properly. Learning about the different ethics and ways to use data science properly. ,I wished we had more lectures where you coded with us so we could practice coding while in lecture. Doing the code has always helped me learn so I think it would be a good segment to add. 
I have been enjoying the discussion labs.,I feel like the lectures could go into more detail. 
I have enjoyed working on the labs the most. I think that it is fun to problem-solve and apply course concepts together. It is satisfying when the code works as intended.,"I have not liked the length of the assignments and parts of D4 due to some of the instructions being more vague than usual, making it harder."
I enjoyed the walk through instructions and step by step process through data science and manipulation ,Some of the instructions for the lab and assignments were bit confusing and hard to understand what was being expected.
"I have enjoyed the lectures a lot, they are very engaging and professor does an amazing job at explaining everything as well as holding my attention despite it being at 9am. I feel as though the lectures are well paced and structured as well as the examples used are interesting and demonstrate the material we are learning.","I haven't liked the assignments as they have poorly written instructions and I find myself often wondering what I am really being asked to produce or code. In D4, the question, ""Now, take a look at how party breaks down - in other words, calculate how many individuals are in each party in the politics dataset. Store this in party_counts"" is quite confusing because I took this and said ""okay they want it in a dataframe"" so I wrote the code for that only for it not to pass the assert tests because you guys wanted a dictionary. Isn't a dataframe easier to store the information and use later on in the assignment than a dictionary? I just feel like there's a lot of times where you guys can write the instructions to be more specific, and specify what the output should look like."
I enjoy working on the jupyter. It gives me the practices I need to strengthen my knowledge.,I pretty enjoyed everything.
The professor’s understanding approach and helpfulness with her students,Coding isn’t necessarily my favorite thing so sometimes I can get a bit frustrated when I don’t get it right multiple times in a row. But it’s a growth opportunity nonetheless!
I like the lectures and the project. It can help me do the data analysis after this class,Nothing. I like all how this class organized
I enjoyed learning about the different ethical ways data can be obtained and how to analyze the data.,I dont like how datahub is structured because it can be confusing sometimes. Like sometimes the kernal would crash or the page becomes unresponsive or the validation would just give an error and not be able to validate.
Substituting an in-person final exam for a quarter long group project,"As described by my friends previously, I thought this course would be more of an introduction to applying data science skills however the grading scheme along with material being covered seems to go beyond that criteria making me feel very overwhelmed and not confident with this course. "
I have enjoyed working in a group since getting different perspectives is interesting .,I feel like a lof of the work is repetitive.
So far I enjoyed learning GitHub and how to navigate through it. ,"I think the thing that I least enjoyed was also what i enjoyed, it was a bit of a curve navigating through GitHub at first."
Communicating with my team about the project.,When I am getting bugs on assignment coding questions and I cannot figure them out.
"So far, I have enjoyed the data-wrangling labs the most, due to how they allow for a number of ways to accomplish the assigned tasks.","There have not really been any aspects of the class that I have found uninteresting; though, if I had to give an answer, it would be the in-person lab sessions (I just prefer to do the labs at home). However, I do appreciate the fact that you can ask illuminating questions, if you are stumped by a specific part of a lab assignment."
"So far I’ve really enjoyed the lectures, I think they are very informative and very easy to follow even for someone who isn’t the most knowledgeable in data science. I also love the way questions are answered during lecture. ","The labs, I went a couple times and they weren’t very helpful, as a commuter it takes less time to just google stuff up. "
mostly the Quiz it's reasonable and efficient in every way,so far everything is interesting 
The professor is very nice and interactive!,Number of problems on each Assignment. For many of these we do the same data wrangling task over and over again
Data science! This is my first course in data science and the ethics of it has been very interesting thus far. ,"Learning how to use Pandas, numpy and seaborn has been kind of confusing. Even though we're given instructions and notes I still fins myself looking up instructions online. "
I enjoyed process of thinking about a project proposal.,Nothing so far.
"Coding part, I enjoy the coding part because i feel like it is very useful.",the quizzes and reading.
the lectures and their format,the deadlines for the project 
I think I like how the explain that professor use in class. And with some questions that we can all engaged it helps me more focus on the courses materials and learn so new skills.,"I think one assignment per week should be enough. Because if it is more than one assignment per week, a lot of things was not cover in class which makes it very difficult to practice. And if on the homework there is an example question with answer above each questions, it will be very helpful."
The coding assignments,"The names of the assignments, wish it were more clear"
"I have enjoyed the COGS 108 lectures because Professor Ellis does a really great job at explaining complex concepts, especially for me, a person who has not coded in Python since 10th grade.",I have not enjoyed the group project so far because it has been difficult trying to find a time to meet with our entire group. It's also really hard when you are in a group with randomly assigned people.
I liked getting review with git controls and the process of working on the COGS108 project.,Some parts I did find repetitive because I am familiar with some topics.
Learning how important Data is and how it can be used was interesting cause it showcased how much of everything relies on it.,The pace of the class is a bit slow for me cause I already know a lot of the programming concepts being taught but it is understandable since it might not be the same for everyone
"I loved meeting the people in my group! It was nice to see which parts of the project people were best at. For example, the things I did not know another person could pick up.",I did not like having assignments due every single week. It feel like there was no breathing room.
Great professor,Github
"It's a nice review of COGS 9, but with actual implementations! I always forget how to use pandas sometimes, so the pandas slides has been so helpfulf for me during the class and outside of it.","This might sound weird, but the slowed pace is at the beginning. I know I will have to work 2x maybe 3x more in the week than I usually do for COGS 108 because of the project-based class, but the beginning makes me not work as hard for it and then when the project portion comes, I feel unprepared. I don't think this is the class' fault at all; it's just how I work with COGS 108."
