enjoyed_most,enjoyed_least,difficulty,time_spent,a1,proposal
"Too early to say, but conceptually, the content. I haven't dealt with much that we have learned practically as I have not started on A2, but I am excited based on the topics we have discussed in lecture. ","Cogs 108 is my favorite class that I have taken at UCSD so far so there isn't a lot of negatives to say but if I had to choose, I did not like how rush",way easier,somewhat less,3,2
"Learning about the different ways to visualize data has been really interesting. The presentation of data is something that I didn't think too much about before this class, so it was really interesting to learn the different ways data can be visualized. Things like how a data table is organized and how charts differ from one another put data and statistics into context. ","My least liked part of this class was probably setting up git and github. I recognize how useful these tools are, but I found the setup and initial use very non-intuitive. The git terminal in particular is not the most straightforward, and learning the basics felt tougher than it should have been. Github was also a bit complicated my first time using it, but as I've used it more it makes more sense.",somewhat more difficult,somewhat more,4,3
"I think the Professor is really good at presenting complex topics in an easy to understand, and less daunting manner.","So far, there is nothing that I dislike about the course in particular.",somewhat easier,about the same,1.5,3
"I like the coding part, cuz using code to solve problems is very cool.","I don’t really like the data analysis part, because it’s harder to understand for me.",about as difficult,about the same,3,3
I like that the videos are split by topic bc it makes the content more digestable. also the quick quizzes at the end are a good grasp check.,I'm not super familiar with python so the assignment took me a while.,somewhat more difficult,about the same,2.5,2
the material told in class,too many quizzes,about as difficult,about the same,1,2
"The fact that quizzes are always Monday, Wednesday, and Friday. It forces a small regularity to my schedule. For example, one of my other classes has weekly quizzes, and I procrastinate until the day that quiz is due to catch up on an entire week's of material. Another one of my classes only has 3 grades: a midterm, another midterm, and a final. Yep, that's it. I only started studying for the first midterm the day of the midterm.",The project proposal and learning git. I didn't even learn git. I skipped that part of A1. I haven't even started the project proposal either. ,somewhat more difficult,about the same,4,0
data,covid-19 :(,about as difficult,about the same,0,1
,,somewhat more difficult,somewhat more,2,3
the practical skill been taught,"the quiz due should move to one single day, like friday. It is easy to forget to do one quiz if spit it to MWF. ",somewhat easier,about the same,2,1.5
"So far, I have enjoyed the fact that I am able to further engage my interests in data analytics. I have always enjoyed looking at data to deduce conclusions about trends, which is definitely being engaged in our final project.",I had difficulty setting up GitHub on my laptop in accordance to 108 -- that's about it! ,about as difficult,about the same,2,3
The variety of datasets we have looked over is very interesting!,Sometimes the questions on the quizzes can be difficult to answer because they're vaguer than I'd prefer.,somewhat easier,about the same,3,5
Being able to think about a project with friends,Not being able to meet in person,way easier,way less,1,2
The lecture is clear ,It’s hard to get answered for specific questions ,about as difficult,about the same,6,6
Taking quizes after watching the video. Because we can really focus on the material and test our learning result quickly.,When stuck on the question when doing assignment.,somewhat easier,somewhat less,5,5
Its application of data science,none,somewhat easier,somewhat less,1,4
I really like how applicable it is to our interest,,about as difficult,somewhat more,10,10
Project planning and brainstorming ideas. Being able to talk to others and think of a cool project together is pretty fun amidst the pandemic.,,way easier,somewhat less,1,3
"Deciding upon my project subject, we decided to use datasets from riot games which created my favorite game of all time League of Legends.","I've been really struggling to figure out how to use anaconda to install jupyterlab and am struggling to completely understand python. My last quarter I barely skirted by in java, so my fundamentals are weak.",somewhat more difficult,somewhat more,5,3
Programming and pandas. It is nice to see how programming skills can be used in data analysis and visualisation.,,somewhat easier,about the same,1.5,3
online classes. I don't have to wake up at 8 am in the morning!,Online classes again. I feel I can learn more by just being present in the class ,way more difficult,way more,3,3
Able to concretely learn things about data science that I had only loosely learned before.,"A lot of it is expected to be on your own, which is difficult with my workload. ",somewhat easier,about the same,4,3
I enjoyed learning about the different concepts associated with data science and how they are relevant in different real world examples. Learning about git was also very useful information.,"Honestly, I don't enjoy the quizzes because even when I take the quizzes immediately after watching the lecture, I still get points off. The shorter quizzes sometimes don't have enough time either.",somewhat easier,about the same,1,2
The professor's assumption that with some terms/ideas we might not be familiar with yet. This has elevated some pressure off the students for sure! I also think that splitting the lectures into parts to focus on specific topics has been important for me to sort and locate that information when necessary.,"I think the part I like least so far is group projects because they are very communication orientated and at points I feel like not contributing. It's because I haven't been normalized into group project settings yet. But in another light, I see this as an opportunity to be less afraid of working with other people and to learn to voice ideas to others!",about as difficult,about the same,3,6
"I think data collection is interesting in itself, and this course is great in educating me on how data is collected, sorted, and analyzed! The lectures and notebooks are very clear so far, which I greatly appreciate.","Sometimes I do struggle with components of the assignments (for example, wondering what Q3D is asking for, etc.), but I can't tell if it's because it's genuinely challenging or if my programming skills require additional brushing-up. I'm sure it's the latter though, because once I attend office hours, it clears up a lot of the confusion! (More about the TA below)",somewhat more difficult,somewhat more,10,1
the understandingness of the teaching staff,,somewhat more difficult,somewhat more,5,6
I've most enjoyed completing the coding assignments and learning more about pandas,"I've least enjoyed the weekly quizzes because there are so many, but I understand the need for them and they do help me understand the lectures better",about as difficult,about the same,2,3
Lectures are well organized and the assignments are well written,"The feedback on assignments is not really present. That is, I cannot really tell why I got such a score and why.",somewhat easier,about the same,2,0
learning python and being able to work with data with python,,about as difficult,somewhat more,2,3
"Since I am new to data science, I really like the goal of the course: to explain phenomena with data and analysis. It has sincerely sparked an interest in data science",Lack of real world applications of wrangling data within the assignments,about as difficult,somewhat more,2,5
The juypiter notebooks lectures because I like to be actively learning,The fact that we are not lecturing in person but theres nothing we can do about that in this situattion,about as difficult,about the same,2,1.5
"I enjoyed learning the fundamentals of cleaning and wrangling the data. Also, when I really implement those techniques into the real work, it is really useful and engaging that how we collect the data and facing lots of issues of handling the data. ","I have liked the least for this course is the working in the quiz is something confusing, which leads me to the incorrect answers. Also, I have to be really careful about all the cases in the assignment so that I wouldn’t be deducted for the final grade as it worths so much.",about as difficult,somewhat more,15,72
Writing code and seeing the code work,some topics are difficult,somewhat more difficult,about the same,2,2
I have enjoyed the most working with Python,,about as difficult,about the same,4,6
"I've enjoyed the lectures the most COG108, although with the unique circumstances in which online learning can be very stressful I still find the course to be intellectually stimulating and I appreciate the way the videos are divided.","The bulk of my worries with COGS108 comes from the assignments as they have been slightly tedious for me, mainly because I find myself getting confused at times due to the wording and that caused me to lose major points in A1. Also, I feel as though I was not entirely prepared for this course, since I did not have too much familiarity with Python, github, and datahub. Therefore, when doing the assignments I constantly find myself having to do more research that adds to the workload before I can understand if I am on the right track.",somewhat more difficult,way more,10,7
Learning more about python.,"This isn't really the fault of the class, but just online learning in general is difficult.",somewhat more difficult,somewhat more,5,3
learning about python visualization methods,N/A,somewhat easier,somewhat less,2,3
I have enjoyed the flexibility of the class in general and I have enjoyed the subject matter that this class has to offer. This could be very useful for me for my career :).,"The lecture quizzes, to be honest. I understand that the quizzes are meant to keep us on track when it comes to lecture material. However, I feel like (in my opinion), that there should be more flexibility when it comes to the quizzes. For example, in my opinion, there should be a little bit more time allotted for each question on the quiz, not 1 minute per question. I feel like allotting only one minute per question creates more pressure and its not enough time to come up with the correct answer or too look back at the notes to make sure/confirm the answer (especially when you accidentally missed something in the lectures). Also, allowing multiple attempts on the lecture quizzes could be nice too (without exposing the correct answers after taking it, of course), as this can make us look back at the lectures or lecture notes to see what we've missed and possibly got wrong. At the end of the day, it is your call as the professor. These are just suggestions to possibly consider to create a slightly better learning environment. Other than that though, no complaints :)",about as difficult,about the same,3,4
"It's application based. I think that is the most important thing. It's nice learning the theory behind it, but trying to come up with a project to apply our knowledge really helps us prepare for actual Data Science stuff.","I think the course is too spread out which causes the problem of too little attention for important topics. For example, while I was looking through the Linear Regression videos, I found that the videos did not nearly cover the detail required and that a lot of the important points were skimmed over too quickly. I have extensive experience in Statistics and in particular Linear Regression, but if I were a beginner who hadn't taken a college level Statistics course, I would really struggle to get all that detail in such a short space of time. To be clear, this isn't a criticism of teaching (Professor Ellis is one of the very best professors I've had the pleasure of learning from at UCSD), but one of time. I understand that quite a lot of topics need to be covered in this course, but perhaps the course can afford to lose some of the materials that are going to be covered to create time for future batches. 

Suggestion to fix this issue: After this quarter, the Professor will have a collection of videos which explain the topics really well. A possible solution is that some of the less engaging topics can be taught (say the earlier videos about Git and GitHub, some basic programming concepts such as pandas which students can easily pick up through online video and Jupyter Notebook Walkthroughs as well as by looking at the documentation available online) to the students via this medium while lecture time can be used for more engaging material (like going through the assumptions of Linear Regression and t-tests with more thoroughness and perhaps explaining the intuition behind those things, a full example of real-life data science projects etc).",way easier,somewhat less,0.5,3
"lectures are a good timing and style, assignments are alright so far. I like the no tests thing (besides quizzes) ",the quizzes (so many),somewhat easier,somewhat less,2,5
The professor really explains things well. The tests are representative of what is in the lecturers. Also splitting up the lectures makes learning the topics easier. The examples we go over in lectures are pretty interesting and shows how what we're doing applies to real life.,Probably having to learn python. Doing for loops and accessing lists in a dictionary is really weird. I was stuck on a1 for a while. I kept trying to solve things in java,about as difficult,about the same,12,2
"I like the coding part, cuz using code to solve problems is very cool.","I don’t really like the data analysis part, because it’s harder to understand for me.",about as difficult,about the same,3,3
