enjoyed_most,enjoyed_least,difficulty,time_spent,section_attendance,helpful_materials
,I think lectures are not organized and they are extremely confusing. It would help if they were catered in a more content / topic based way. The homeworks are extremely difficult if you don't have python experience ,about as difficult as my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Assignments, Group Project"
That Python can be used to sort/represent datas,Too little knowledge about Python in lecture while assignments ask for too much pre-knowledge in Python,about as difficult as my other courses,somewhat more work than my other courses,I attend section regularly (almost every week),"Section - Assignment Help, Section - Workbooks, Piazza"
Section Workbooks and sections. very detailed and helpful,lecture too big. hard to pay attention,about as difficult as my other courses,about the same amount of work as my other courses,I attend section regularly (almost every week),"Section - Workbooks, Assignments"
I have enjoyed the group project a lot so far. I think that being able to collaborate with people who have similar interests as myself makes the experience of conducting a data analysis especially fun.,"The thing I have liked least about Cogs 108 is certain aspects of the assignments given. Though I appreciate the coding experience I gain from the assignments, I feel that the material covered on them does not align with the material covered in class.",somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Lecture, Section - Workbooks, Assignments, Group Project, Piazza"
,,about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,Piazza
The assignments,Lecture,about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Lecture, Piazza"
"learning Python - I've always wanted to learn it, but I just never got around to it. This class finally gave me a reason to learn it.","not being able to choose our group - although I do like my current group, I would have liked to choose my own group because I am more comfortable holding my friends accountable for their parts of the project. In the past, I have often done more than my own share of the project because of slacking project partners.",somewhat easier than my other courses,way less work than my other courses,I attend section regularly (almost every week),Assignments
I like the assignments. It is really fun and easy. ,I don't like the final project group. Because some of my group mates did nothing and didn't come to the group meeting. ,about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Lecture, Assignments, Piazza"
The Lectures have been interesting,"The final project felt a bit ambiguous, maybe needed more guideline",somewhat easier than my other courses,somewhat less work than my other courses,I attend section occasionally,"Lecture, Section - Assignment Help, Section - Workbooks, Assignments, Piazza"
Lectures on the application of data science and the ethics of data research has been the most interesting part of the class to me.,I'm not a fan of the python language.,about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Section - Workbooks, Group Project, Piazza"
I love that we are able to cover a lot of ground in this class by learning large scale what data science is all about.,Some parts of the class I feel we could spend more time on but that is a price to pay to cover as much ground as we do in this class.,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Lecture, Assignments, Group Project"
I love the assignments we have every other week.,That i can’t find group members on my own with people who i want to work with,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Assignments, Group Project, Piazza"
The assignments are interesting and challenging at the same time.,We were not able to form our own groups.,about as difficult as my other courses,about the same amount of work as my other courses,I attend section occasionally,"Section - Assignment Help, Assignments, Group Project"
,,way easier than my other courses,way less work than my other courses,I do not attend weekly sections,Piazza
,,somewhat easier than my other courses,somewhat less work than my other courses,I attend section regularly (almost every week),"Lecture, Assignments, Piazza"
How informative the lectures are,How long the assignments take to complete,way more difficult than my other courses,way more work than my other courses,I attend section occasionally,"Lecture, Assignments, Piazza"
The project. It is fun sifting through the data and making real world connections with what is learned in lecture.,Assignments. They feel too long.,about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Lecture, Group Project, Piazza"
Clicker Questions,The coding,way more difficult than my other courses,somewhat more work than my other courses,I do not attend weekly sections,"Section - Workbooks, Piazza"
the lectures! Theyve been very engaging and interesting !,probably how fast the iclicker questions are :/,about as difficult as my other courses,somewhat more work than my other courses,I attend section regularly (almost every week),"Section - Workbooks, Assignments, Group Project, Piazza"
Lectures are interesting.,Dealing with data,about as difficult as my other courses,about the same amount of work as my other courses,I attend section regularly (almost every week),"Lecture, Section - Assignment Help, Section - Workbooks, Assignments, Group Project, Office Hours, Piazza"
Doing the project and working on the PA! ,Case Studies! I feel like we are wasting time.,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Lecture, Assignments, Group Project"
I would say i enjoy attending lecture,"Sometimes, the questions on the assignments can be little vague from someone with minimum programming experience",about as difficult as my other courses,somewhat more work than my other courses,I attend section regularly (almost every week),"Lecture, Section - Assignment Help, Piazza"
I really enjoy the freedom of working on a project,Everything is good!,about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,Lecture
no final/midterm!,python!,somewhat easier than my other courses,somewhat less work than my other courses,I attend section regularly (almost every week),Assignments
lecture,project,about as difficult as my other courses,about the same amount of work as my other courses,I attend section occasionally,"Lecture, Section - Workbooks, Assignments"
The program experiences with Python and statistic experiences with pandas,"There is not enough practice before the Homework, so it might feel a bit lost while I'm doing it",somewhat easier than my other courses,about the same amount of work as my other courses,I attend section occasionally,"Section - Assignment Help, Section - Workbooks, Piazza"
The discussions that we have in class when a question is proposed.,coordinating meetings with my teammates.,about as difficult as my other courses,somewhat less work than my other courses,I attend section occasionally,"Lecture, Assignments, Piazza"
"That I am working on problems in real word. I like this because I can have more sense about what I am doing and what is the problem. In addition, I will be more exited when I can solve the problem.  ","Within the lecture, it would be great if we could go over more materials. ",somewhat more difficult than my other courses,somewhat more work than my other courses,I do not attend weekly sections,"Assignments, Group Project"
The case studies are realistic and interesting.,The coding explanations. Its not explained quite well to understand python,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,Assignments
Learning Python.,Final project.,somewhat easier than my other courses,somewhat less work than my other courses,I attend section regularly (almost every week),Assignments
The team aspect of the group project is nice,Coding python without any prior knowledge,about as difficult as my other courses,somewhat more work than my other courses,I do not attend weekly sections,"Lecture, Assignments, Group Project, Piazza"
"Yes, learned about data manipulation ",Some lectures I feel have no direction,somewhat easier than my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Lecture, Assignments, Piazza"
"The bi-weekly assignments that we get. I actually get to learn a lot from doing all the coding. In addition, looking at the tutorials and going to weekly section really help me understand Python a lot better. ","The least thing I like about COGS108 is about the group situation and how the project is being explained and proposed. There are still a lot of confusions between what exactly needed to be done. Otherwise, I really like the course so far. ",about as difficult as my other courses,about the same amount of work as my other courses,I attend section occasionally,"Section - Assignment Help, Section - Workbooks, Office Hours, Piazza"
The assignments are enhancing my python and analysis skills.,The feedback comes rather late for the next assignment. ,way easier than my other courses,way less work than my other courses,I do not attend weekly sections,"Lecture, Assignments, Piazza"
Lecture examples,Speed of lecture,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Lecture, Piazza"
,,way easier than my other courses,way less work than my other courses,I do not attend weekly sections,Piazza
,,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Lecture, Assignments, Office Hours, Piazza"
The process of crafting an analysis topic for our final project has been my favorite part of the class so far because it allowed for theoretical and technical knowledge to applied to solving real world problems. ,The process of dealing with unresponsive teammates has been the least enjoyable part of the class up to this point. ,somewhat easier than my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Lecture, Section - Workbooks, Assignments, Piazza"
The homeworks and group meetings have been fun,I wish I could fit a section into my schedule but unfortunately it hasn't worked out that way.,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Assignments, Group Project, Piazza"
I enjoy the independency of learning how to code a new language.,It has been really challenging figuring out the process of coding in python.,somewhat more difficult than my other courses,somewhat more work than my other courses,I do not attend weekly sections,"Lecture, Assignments"
Coding assignments,,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,Assignments
I learned a lot while doing the assignments. I enjoyed learning about how to use the different Python libraries to answer a data science question.,"I found the group project hard, especially with such big groups. ",somewhat easier than my other courses,somewhat less work than my other courses,I attend section occasionally,"Lecture, Assignments"
I enjoyed the assignments that are interesting to solve. Especially since the materials are directly from the lecture and it gives me an insight about how and what I should do to approach my final project.,I feel like lecture covers a lot more and I would like to cover the concepts deeply with more implementations/clicker questions to check if we really understand the concept.,about as difficult as my other courses,about the same amount of work as my other courses,I attend section occasionally,"Lecture, Section - Assignment Help, Assignments, Piazza"
,,about as difficult as my other courses,somewhat more work than my other courses,I attend section regularly (almost every week),"Lecture, Section - Assignment Help, Section - Workbooks, Assignments, Piazza"
,,about as difficult as my other courses,about the same amount of work as my other courses,,"Lecture, Assignments, Group Project, Piazza"
"Understanding the basics of data prediction, since I am very interested in machine learning ",The lecture slides is sometimes not as helpful as the jupyter notebook,somewhat easier than my other courses,somewhat less work than my other courses,I attend section occasionally,"Assignments, Group Project"
Lectures and the pace of learning material,EDA cases; In terms of coming up with data science questions and the topic of the EDA cases. It may be because I don't find topics interesting.,somewhat easier than my other courses,somewhat less work than my other courses,I attend section regularly (almost every week),"Lecture, Assignments"
Learning about data science tools and workflow.,Working on the project.,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Lecture, Assignments, Piazza"
Assignment,Project,way easier than my other courses,way less work than my other courses,I do not attend weekly sections,Assignments
Applying data science to real data sets or real life problems.,None,about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Lecture, Assignments, Office Hours, Piazza"
The programming assignments,I feel like the interactive lectures have largely been unsuccessful and I haven't taken away much from them.  ,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Section - Assignment Help, Section - Workbooks, Assignments"
The clear lectures/podcasts and use of Github over TritonEd,,somewhat more difficult than my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Lecture, Section - Assignment Help, Section - Workbooks, Piazza"
The assignments are a nice introduction to a lot of python tools,There's not much direction on the project,somewhat easier than my other courses,about the same amount of work as my other courses,I attend section regularly (almost every week),"Lecture, Section - Assignment Help, Section - Workbooks, Assignments, Group Project"
Assignments and Jupyter Notebooks since it is the first time I've worked with Jupyter notebooks before,N/A,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Lecture, Assignments, Group Project, Piazza"
The freedom to work on a project with a team.,It is a bit easy.,way easier than my other courses,way less work than my other courses,I do not attend weekly sections,Piazza
Flexibility about the group project: I end up choose a really interesting topic.,Not really.,about as difficult as my other courses,about the same amount of work as my other courses,I attend section occasionally,"Lecture, Section - Assignment Help, Section - Workbooks, Assignments, Group Project, Piazza"
Assignments,Lectures,way more difficult than my other courses,somewhat more work than my other courses,I attend section regularly (almost every week),"Section - Assignment Help, Section - Workbooks, Assignments, Piazza"
theres no tests,the time it takes to complete an assignment,somewhat more difficult than my other courses,somewhat more work than my other courses,I do not attend weekly sections,"Assignments, Piazza"
"Learning about data visualizations + personally-relevant and interesting examples of data science applied
Assignment feedback is useful
Use of datahub makes submission of assignments easy and straightforward",Unsure,way more difficult than my other courses,somewhat more work than my other courses,I attend section occasionally,"Lecture, Section - Assignment Help, Section - Workbooks, Assignments, Piazza"
The flexibility with podcasts,Instructors taking a long time to answer questions on piazza,somewhat more difficult than my other courses,somewhat more work than my other courses,I do not attend weekly sections,"Lecture, Assignments, Piazza"
,,somewhat easier than my other courses,somewhat less work than my other courses,,Assignments
the interactive lectures,lectures too abstract ,way easier than my other courses,way less work than my other courses,I do not attend weekly sections,Piazza
,,about as difficult as my other courses,about the same amount of work as my other courses,,"Lecture, Section - Assignment Help, Assignments, Group Project, Piazza"
"I love the lecture materials, I learn a lot of interesting stuff.",none,somewhat easier than my other courses,way less work than my other courses,I attend section occasionally,"Lecture, Section - Assignment Help, Piazza"
The data visualization,Dealing complicate data,somewhat easier than my other courses,about the same amount of work as my other courses,I attend section occasionally,"Lecture, Assignments"
Hands on experience,Clicker questions,about as difficult as my other courses,about the same amount of work as my other courses,I attend section occasionally,"Lecture, Assignments"
I am a great coder but that assignments have allowed me to become better. I enjoy learning about the different methods in python.,Sometime the coding assignments can be tedious.,about as difficult as my other courses,about the same amount of work as my other courses,I attend section occasionally,Section - Assignment Help
I have enjoyed the assignments on datahub.,I was not very excited about using github in the beginning.,about as difficult as my other courses,about the same amount of work as my other courses,I attend section regularly (almost every week),"Lecture, Assignments, Piazza"
I have enjoyed going to section and working on the section workbooks and/or getting help with questions.,Having a group that is completely randomly assigned. The method used did not group up people with similar interests or similar availability. ,about as difficult as my other courses,about the same amount of work as my other courses,I attend section regularly (almost every week),"Section - Assignment Help, Section - Workbooks, Piazza"
Assignments were pretty fun and easy ,I can't really get hang of the final project. My group seems like they know a lot about data science tho ,somewhat easier than my other courses,somewhat more work than my other courses,I attend section occasionally,"Assignments, Piazza"
I enjoyed most about the case study analyzed in the lecture,I don't like the pure concepts without any examples,about as difficult as my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Lecture, Assignments, Group Project, Piazza"
I like the hw. I feel like I could use what I learned in class. ,Need more guidance in the project,somewhat more difficult than my other courses,somewhat more work than my other courses,I attend section regularly (almost every week),"Lecture, Section - Workbooks, Piazza"
"Good overview of python tools, case studies for data analysis",N/A,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Lecture, Assignments"
,,way more difficult than my other courses,somewhat more work than my other courses,I attend section regularly (almost every week),"Lecture, Section - Assignment Help, Section - Workbooks, Assignments"
The pace of learning is very nice. Don't feel behind or ahead ,Nothing really ,about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Assignments, Group Project, Piazza"
The assignments are actually interesting and not incredibly hard,Group projects,about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Assignments, Piazza"
I was surprised by how we could process data in such amazing ways.,I felt that it took time to search for codes. And sometimes it's hard to debug.,about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Assignments, Group Project, Office Hours, Piazza"
The material,The mandatory group project,about as difficult as my other courses,about the same amount of work as my other courses,I attend section regularly (almost every week),"Lecture, Section - Assignment Help, Section - Workbooks, Assignments, Office Hours, Piazza"
Lectures go over interesting topics,If lecture would've been more dense I would've attended more often.,somewhat easier than my other courses,somewhat less work than my other courses,I attend section occasionally,"Lecture, Assignments, Piazza"
One thing I enjoy is that the professor provides data sets to illustrate the topics we are learning. ,One thing I least enjoy about this course is that at times when doing assignments we are working with things we've never heard before. ,somewhat easier than my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Lecture, Section - Assignment Help, Section - Workbooks, Assignments"
Nothing,Everything,way more difficult than my other courses,way more work than my other courses,I attend section occasionally,Assignments
"I like the coding assignments, I think the instructions are simple and jupyter makes it easy to progress and get dynamic feedback on your work.",,way easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Lecture, Assignments"
I really enjoy the programming assignments.,I wish there was better feedback on what we did well or poorly on the assignments.,about as difficult as my other courses,about the same amount of work as my other courses,I attend section occasionally,"Assignments, Group Project, Piazza"
Learning about data scraping!,Grading criteria not very clear. ,about as difficult as my other courses,about the same amount of work as my other courses,I attend section occasionally,"Assignments, Group Project"
I have enjoyed the use of various libraries in python,The class case studies,somewhat easier than my other courses,somewhat less work than my other courses,I attend section regularly (almost every week),"Lecture, Assignments, Office Hours"
Doing the assignments has been fun. Going through all the steps of Data Science.,Working in a random group. All members are not as dedicated. ,somewhat easier than my other courses,about the same amount of work as my other courses,I attend section occasionally,"Section - Workbooks, Assignments"
optional lecture attendance,assignments,about as difficult as my other courses,about the same amount of work as my other courses,I attend section occasionally,Assignments
Data,Coding and groupwork,about as difficult as my other courses,about the same amount of work as my other courses,I attend section occasionally,"Lecture, Assignments, Piazza"
,Not being able to work with friends on the group project. Trying to work with chosen groupmates who do not care about this class.,way easier than my other courses,way less work than my other courses,I do not attend weekly sections,"Assignments, Piazza"
,,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Lecture, Assignments, Piazza"
"The coding, I like how simple it is.","Lectures go by fast, code excerpts are sometimes skimmed over",somewhat easier than my other courses,about the same amount of work as my other courses,I attend section occasionally,"Lecture, Assignments"
The way of teaching the function we will use to analyze the dataset.,None,about as difficult as my other courses,somewhat more work than my other courses,I attend section regularly (almost every week),"Lecture, Section - Assignment Help, Section - Workbooks, Assignments, Piazza"
the python code,the python,somewhat more difficult than my other courses,about the same amount of work as my other courses,I attend section regularly (almost every week),Lecture
Learning about python and data science!,,about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Lecture, Section - Assignment Help, Section - Workbooks, Assignments, Piazza"
Learning python through the assignments (i have no prior experience) ,"Lecture style in introducing information. Its not horrible, just not my preference ",about as difficult as my other courses,somewhat more work than my other courses,I attend section occasionally,"Section - Assignment Help, Section - Workbooks, Assignments, Piazza"
"I have enjoyed working with a group for Cogs 108, I think it is especially helpful to be able to run ideas through other group members ",Something I have heard from other students taking the class is that they mainly complete assignments by searching things up on online ,about as difficult as my other courses,somewhat less work than my other courses,I attend section occasionally,"Section - Workbooks, Group Project, Office Hours, Piazza"
The best part about this class to me is working on the project with my group and learn new thing from classmates.,I don't think I have one for now.,somewhat easier than my other courses,somewhat less work than my other courses,I attend section occasionally,"Section - Assignment Help, Assignments, Group Project, Piazza"
I have a chance to learn python and explore data,I'm not familiar with politics but the main example is about politics.,somewhat easier than my other courses,somewhat less work than my other courses,I attend section regularly (almost every week),"Lecture, Section - Assignment Help, Section - Workbooks, Office Hours"
,,way easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Lecture, Assignments"
the fact that the professor codes in class live helps me understand ,the fact that the group partners were assigned :--(,about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Lecture, Section - Workbooks"
No exams,Team project,about as difficult as my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Lecture, Assignments, Piazza"
The availability of office hours and style of lectures. Professor Ellis has a very clear voice and encourages interaction.,"I don't know much about Python and it is really hard to do the assignments without any Python background, even though I am used to Java. The lectures don't focus enough on basic method use. Also, sometimes the TAs don't know how to do the PAs so it can make it challenging to get help.",somewhat more difficult than my other courses,about the same amount of work as my other courses,I attend section regularly (almost every week),"Section - Assignment Help, Section - Workbooks, Office Hours, Piazza"
The availability of office hours and style of lectures. Professor Ellis has a very clear voice and encourages interaction.,"I don't know much about Python and it is really hard to do the assignments without any Python background, even though I am used to Java. The lectures don't focus enough on basic method use. Also, sometimes the TAs don't know how to do the PAs so it can make it challenging to get help.",somewhat more difficult than my other courses,about the same amount of work as my other courses,I attend section regularly (almost every week),"Section - Assignment Help, Section - Workbooks, Office Hours, Piazza"
,,about as difficult as my other courses,about the same amount of work as my other courses,,"Lecture, Assignments, Group Project"
