enjoyed_most,enjoyed_least,quiz_number,quiz_questions,a1,a2,proposal
I have enjoyed learning how to use python and pandas. I did not feel confident with my coding skills but the assignments have helped me understand more the importance of syntax. ,The pressure of the final project. I am having a hard time to be able to meet with my team and work on the project. I now sort of wish that I worked on the solo project that way I don't feel like I'm bringing my team down or vice versa.,The number we've had is about right.,I think they've been fine generally and would keep them as is.,16,10,3
The easy going pace of learning python,,The number we've had is about right.,I think they've been fine generally and would keep them as is.,5,8,5
,,The number we've had is about right.,I wish they were more straight from the notes/videos.,1.5,1,6
Piazza posts and videos. They are the most helpful with answering questions and are very useful,honestly the final project. I don't really feel like there's a lot of instructor input so it is a little difficult to do a lot of outside work but hopefully that is just because we are just starting going through the datasets this week,The number we've had is about right.,I wish they were more straight from the notes/videos.,5,6,4
The guest lecturer. She really encouraged me and gave me so much hope for the future.,"One assignment every few weeks. I think I would have preferred mini assignments to solidify class concepts that involved programming, rather than the concept check quizzes, because I feel like I would retain everything a bit better that way. ",The number we've had is about right.,I wish they required more depth in thinking/critical skills.,2,3,0
"I've been curious about data science but didn't know where to start, so I like the structured design and introduction of fundamentals that lead into more complex ideas","I didn't have experience with python so I've been catching up a bit, but I know that this was expected before starting the course.",The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,2,2
Python coding,No live lectures,There should be a couple less.,I wish they were more straight from the notes/videos.,2,3,6
Guest speakers since it is nice to hear their experiences and advice.,Quizzes that sometimes have questions that feel like they have trick answers.,The number we've had is about right.,"They are fine for the most part, just some questions are occasionally tricky to pick an answer, especially the click all that apply ones.",1,3,4
"I like how easy the lectures are to follow, I wish classes could be in person ,but I still find the lectures enjoyable and how each video is separated according to topic rather than having an hour long video with everything combined",,The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,1.5,6
Learning about data science and working with the pandas package. Working on the group project has also been fun so far.,I still feel new to python after a couple of assignments but that may change over time.,The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,3,2
The hands on nature of the assignments without being too difficult. ,Final group project. ,The number we've had is about right.,I think they've been fine generally and would keep them as is.,3,3,1
I have enjoyed how flexible the course is and how I know due dates in advance ,entirely remote classes,The number we've had is about right.,I think they've been fine generally and would keep them as is.,5,4,3
It is cool that we can work on a read dataset,The quizs,There should be a few more.,I wish they were more straight from the notes/videos.,1,1,3
Being able to learn more about data analysis skills ,The quiz question is sometime ambiguous.,There should be a couple less.,I wish they were more straight from the notes/videos.,2,2,3
I enjoyed working with my group and being able to explore ideas with them.,The short time limits on the quizzes,The number we've had is about right.,I think they've been fine generally and would keep them as is.,1,3,4
"I have really enjoyed applying Python to the applications in this class. Coming from a cs background, I find it very valuable being able to apply my knowledge of programming in a different field like Data Science.","Nothing, this is probably my favorite COGS class at UCSD.",There should be a way less.,I wish they were more straight from the notes/videos.,1,5,5
the guest lecture,daily quizzes,The number we've had is about right.,I wish they were more straight from the notes/videos.,2,3,1
"The videos are really well put together, informative, and concise.",It feels like this class isn't covering too much material and it's already week 5.,There should be way more.,I think they've been fine generally and would keep them as is.,2,3,4
The assignments. They are a challenge as I am new to programing and my last coding course was years ago but working through them has been rewarding,"the group project, I feel that my team doesn't have enough people experienced enough in python, therefor, we seem a bit lost at times. I wish the teams would have been made so that inexperienced coders are paired with stronger coders ",The number we've had is about right.,I think they've been fine generally and would keep them as is.,5,3,2.5
The mini lectures,Having 1 week to complete assignments 3-6 but we had more time to complete A1 and A2. A1 and A2 were easy to complete and didn't require much outside knowledge.,There should be a couple less.,I think they've been fine generally and would keep them as is.,1,3,2
Pacing of lecture (how information is broken up into manageable videos) and pandas library,"datahub, I appreciate how convenient jupyter notebooks are just for some strange reason jupyter isn't playing nice with my computer and I am forced to use datahub",The number we've had is about right.,"I like them for the most part, however the questions where you select multiple responses seem to always get me",1.5,3,3
PAs,confusion about the final project,There should be a few more.,I think they've been fine generally and would keep them as is.,3,5,4
The lecture recordings + the guest lecturer,It's very open ended,There should be a couple less.,I wish they were more straight from the notes/videos.,2,2,6
The quick videos that I actually remember,The assignments on Juypter are very time consuming and which there was videos that guide them. ,The number we've had is about right.,"I do beileve they're ""straight from the notes/videos"" but the wording sometimes is hard to understand what your asking or the question is to general. ",7,5,2
"Using what we learn in lectures in our programming assignments, something I missed in COGS9","Lecture quizzes feel a bit tedious, I'd like to be able to do the 2 weeks-worth of  quizzes at a time",There should be a couple less.,I think they've been fine generally and would keep them as is.,1,1,5
Group Project,Lecture Quizzes,The number we've had is about right.,I wish they were more straight from the notes/videos.,5,5,8
The lectures are interesting,the quizzes are brutal,The number we've had is about right.,I wish they were more straight from the notes/videos.,7,5,3
I've really liked being able to code again as the Cogs department is rather sparse in coding courses.,"Nothing so far, maybe the lack of a ""what you missed"" on the assignments. I could also be unaware of that source being available. ",The number we've had is about right.,I think they've been fine generally and would keep them as is.,7,7,5
The assignments,Probably the amount of videos we have,There should be a couple less.,I wish they were more straight from the notes/videos.,3,5,5
The videos are the perfect length for understanding concepts,I haven't liked the change due dates for Assignments on Datahub,The number we've had is about right.,I think they've been fine generally and would keep them as is.,3,4,5
